V,B-V,V-I,Log Age,Log Mass,Classification
17.52,-0.10,-1.06,8.26,4.47,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
16.21,0.78,1.12,9.60,5.99,Cluster
19.00,missing_value,0.61,8.81,4.20,Cluster
18.98,0.70,1.12,missing_value,missing_value,Cluster
18.38,0.51,0.61,7.18,3.22,Cluster
18.77,missing_value,0.94,9.28,4.57,Cluster
18.86,0.67,0.18,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,9.76,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Chip
18.62,0.81,missing_value,9.11,4.56,Cluster
19.42,missing_value,0.82,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Chip
19.31,missing_value,0.55,missing_value,missing_value,Cluster
17.96,missing_value,0.60,7.02,3.16,Cluster
18.01,missing_value,0.80,8.06,4.06,Cluster
18.81,missing_value,0.85,8.81,4.26,Cluster
18.49,missing_value,0.92,missing_value,missing_value,Cluster
17.58,0.04,missing_value,7.28,3.69,Cluster
18.84,0.46,missing_value,7.81,3.61,Cluster
19.27,missing_value,0.52,missing_value,missing_value,Cluster
16.39,missing_value,0.08,7.22,4.26,Cluster
16.76,0.21,missing_value,6.86,3.70,Cluster
17.85,0.13,missing_value,8.01,4.14,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.11,missing_value,0.59,6.96,3.02,Cluster
18.61,0.79,0.50,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.62,0.07,missing_value,8.01,3.76,Cluster
18.83,missing_value,0.29,missing_value,missing_value,Unknown
17.29,0.86,1.12,9.70,5.59,Cluster
18.68,missing_value,0.53,6.98,2.98,Cluster
18.68,missing_value,0.84,missing_value,missing_value,Cluster
19.20,0.31,0.70,missing_value,missing_value,Unknown
19.41,missing_value,0.47,missing_value,missing_value,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
18.86,0.35,missing_value,6.62,2.84,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
17.45,missing_value,0.42,7.72,4.13,Cluster
17.33,-0.07,0.55,7.32,3.89,Cluster
18.54,0.68,missing_value,9.01,4.56,Cluster
18.83,missing_value,1.11,6.94,2.86,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Cluster
18.12,0.27,missing_value,6.62,3.00,Cluster
17.86,-0.19,missing_value,6.82,3.07,Cluster
17.42,0.29,missing_value,6.62,3.15,Cluster
16.64,0.28,0.60,7.70,4.44,Cluster
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Unknown
missing_value,missing_value,missing_value,missing_value,missing_value,Stellar
18.22,1.06,missing_value,missing_value,missing_value,Galaxy
19.10,0.31,0.18,missing_value,missing_value,Unknown
