#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
75,01:33:24.61,30:32:56.1,8.99,-2,1,0.5,77,-25.45,7.10E+20,n,6.70E+08,42,0.11,FALSE
76,01:33:24.85,30:33:55.0,5.05,-6,0.7,0.5,0.8,-19.5,<1.3e17,a,4200000,2.1,0.55,FALSE
77,01:33:25.60,30:29:56.8,7.08,-1,22,1,21,-24.51,1.10E+21,x,3.00E+08,26,0.26,FALSE
78,01:33:25.60,30:45:30.5,8.62,-3.4,1.3,0.5,72,-25.66,8.10E+20,n,8.00E+08,47,0.13,FALSE
79,01:33:25.65,30:27:52.8,8.18,-2,9.7,0.5,55,-25.51,3.50E+21,n,7.10E+08,44,0.16,FALSE
80,01:33:26.00,30:36:24.3,7.59,-2,2.9,0.5,26,-24.51,2.40E+20,a,3.00E+08,26,0.21,FALSE
81,01:33:26.37,30:41:06.9,8.87,-5,24,1,52,-24.73,7.80E+21,n,3.60E+08,29,0.12,FALSE
82,01:33:26.47,30:55:10.9,8.82,-5,19,1,78,-25.65,1.40E+22,n,8.00E+08,47,0.12,FALSE
83,01:33:26.49,30:41:11.6,8.86,-5,32,4,82,-25.7,2.50E+22,n,8.30E+08,48,0.12,FALSE
84,01:33:26.53,30:27:00.4,8.93,-5,8,0.9,70,-25.28,4.60E+21,n,5.80E+08,39,0.11,FALSE
85,01:33:26.75,30:33:21.4,8.81,-2,1.3,0.5,54,-24.84,4.50E+20,n,4.00E+08,31,0.12,FALSE
86,01:33:26.94,30:34:52.6,8.73,-5,3.2,0.5,65,-25.32,1.60E+21,n,6.00E+08,40,0.13,FALSE
87,01:33:27.40,30:41:59.8,8.02,-2,-0.3,0.5,13,-22.49,<1.1e19,a,5.40E+07,9.6,0.15,FALSE
88,01:33:27.96,30:37:28.4,8.99,-2,0.3,0.5,64,-25.03,<5.8e20,n,4.70E+08,34,0.11,FALSE
89,01:33:27.98,30:32:43.1,8.76,-3,4.1,0.5,23,-23.1,2.70E+20,n,9.10E+07,13,0.12,FALSE
90,01:33:28.00,30:21:06.2,8.83,-2,97,4,51,-24.69,3.00E+22,n,3.50E+08,29,0.12,FALSE
91,01:33:28.13,30:58:30.6,8.34,-5,4,0.6,51,-25.21,1.30E+21,n,5.50E+08,37,0.15,FALSE
92,01:33:28.23,30:46:39.9,8.33,-1,1.9,0.5,12,-22.08,3.30E+19,e,,7.8,0.13,TRUE
93,01:33:28.40,30:36:23.1,8.6,-5,7.2,0.5,67,-25.54,3.90E+21,n,7.20E+08,44,0.14,FALSE
94,01:33:28.70,30:36:37.5,8.85,-2,0.4,0.5,32,-23.7,<1.6e20,n,1.50E+08,18,0.11,FALSE
95,01:33:28.72,30:41:35.0,8.84,-1,-1,0.5,26,-23.2,null,n,9.90E+07,14,0.11,FALSE
96,01:33:29.30,30:44:01.6,8.94,-2,0.1,0.5,27,-23.2,<8.5e19,n,9.90E+07,14,0.1,FALSE
97,01:33:29.40,30:23:59.2,8.91,-5,66,2,57,-24.86,2.50E+22,n,4.10E+08,31,0.11,FALSE
98,01:33:29.48,30:30:02.1,6.98,-5,14,1,22,-24.77,8.70E+20,e,,30,0.28,TRUE
99,01:33:29.85,30:26:49.1,8.48,-1,1.4,0.5,28,-23.73,1.30E+20,n,1.50E+08,18,0.13,FALSE
100,01:33:30.07,30:49:29.0,6.25,-2,0.4,0.5,9.8,-23.71,<1.5e19,x,1.50E+08,18,0.37,FALSE
101,01:33:30.68,30:26:31.8,7.22,-1,10.9,0.5,7.5,-22.15,7.30E+19,e,,8.1,0.22,TRUE
102,01:33:30.70,30:22:21.4,8.69,-4,5,0.4,93,-26.16,5.20E+21,a,1.20E+09,60,0.13,FALSE
103,01:33:30.90,30:49:11.8,8.03,-1,1.1,0.5,23,-23.78,7.00E+19,e,,18,0.16,TRUE
104,01:33:30.92,30:37:12.9,8.43,-5,0.1,0.5,38,-24.46,<1.7e20,x,2.90E+08,26,0.14,FALSE
105,01:33:31.00,30:36:52.6,8.71,-5,7,0.5,44,-24.5,1.60E+21,n,3.00E+08,26,0.12,FALSE
106,01:33:31.10,30:33:45.5,8.66,-3,-0.1,0.5,22,-23.04,<4.6e19,n,8.60E+07,13,0.12,FALSE
107,01:33:31.22,30:33:33.5,8.7,-2,56,2,44,-24.52,1.30E+22,e,,27,0.12,TRUE
108,01:33:31.22,30:54:41.6,7.88,-2,1,0.5,15,-22.99,2.70E+19,a,8.20E+07,12,0.17,FALSE
109,01:33:31.25,30:50:07.0,8.65,-1,0.6,0.5,27,-23.51,<1.3e20,n,1.30E+08,16,0.12,FALSE
110,01:33:31.39,30:40:20.4,6.24,-5,10.4,0.5,21,-25.42,5.70E+20,n,6.50E+08,42,0.41,FALSE
111,01:33:31.86,30:54:40.1,8.52,-1,0.2,0.5,27,-23.66,<9.8e19,x,1.50E+08,17,0.13,FALSE
112,01:33:32.00,30:46:25.0,7.62,-5,-0.5,0.5,31,-24.87,<4.7e19,x,4.10E+08,32,0.21,FALSE
113,01:33:32.01,30:33:21.8,8.6,-1,0.4,0.5,12,-21.83,<2.3e19,x,3.10E+07,6.9,0.12,FALSE
114,01:33:32.17,30:40:31.9,8.97,-2,4.1,0.4,27,-23.2,3.60E+20,n,,14,0.1,TRUE
115,01:33:32.19,30:56:04.9,7.85,-5,3.1,10,35,-24.88,4.60E+22,x,4.10E+08,32,0.19,FALSE
116,01:33:32.36,30:38:28.0,8.93,-3,0.6,0.5,38,-23.99,<2.6e20,x,1.90E+08,20,0.11,FALSE
117,01:33:32.43,30:38:24.5,8.09,-4.2,1.6,0.5,35,-24.63,2.30E+20,x,3.30E+08,28,0.17,FALSE
118,01:33:32.59,30:39:24.5,8.08,-5,2.5,0.5,50,-25.4,7.40E+20,n,6.40E+08,41,0.17,FALSE
119,01:33:32.72,30:36:55.2,8.05,-2,5.3,20,35,-24.69,7.90E+22,x,3.50E+08,29,0.17,FALSE
120,01:33:32.75,30:31:45.1,8.21,-1,0,0.5,37,-24.61,<1.4e20,x,3.30E+08,28,0.15,FALSE
121,01:33:33.00,30:49:41.7,5.87,-3,0.6,0.5,11,-24.34,<2.2e19,a,2.60E+08,24,0.45,FALSE
122,01:33:33.28,30:48:30.5,7.93,-4,1.8,100,68,-26.23,1.00E+24,e,,63,0.19,TRUE
123,01:33:33.57,30:36:35.8,8.79,-5,3.1,0.5,96,-26.11,3.40E+21,n,1.20E+09,59,0.13,FALSE
124,01:33:33.72,30:40:03.0,7.97,-5,-0.1,0.5,34,-24.69,<1.1e20,a,3.50E+08,29,0.18,FALSE
125,01:33:34.17,30:44:00.2,8.84,-1,0,0.5,33,-23.77,<1.2e20,x,1.60E+08,18,0.11,FALSE
126,01:33:34.38,30:42:01.3,8.79,-4,-0.3,0.5,41,-24.29,<1.2e20,x,2.50E+08,24,0.12,FALSE
127,01:33:34.68,30:48:21.2,8.56,-5,3.2,0.4,24,-23.3,2.10E+20,e,1.10E+08,14,0.12,FALSE
