#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
411,01:34:33.12,30:38:14.2,9.075230769,-6.130989011,-7.747032967,42.42659341,62.38901099,-24.65114286,<6.8e22,x,5.93E+08,32.75824176,0.108241758,FALSE
412,01:34:33.19,30:38:26.6,9.092417582,-6.287912088,-8.250549451,43.70989011,62.62637363,-24.63428571,1.56E+24,x,5.96E+08,32.63736264,0.107362637,FALSE
413,01:34:33.73,30:39:15.7,9.109604396,-6.444835165,-8.754065934,44.99318681,62.86373626,-24.61742857,1.77E+24,x,6.00E+08,32.51648352,0.106483516,FALSE
414,01:34:34.42,30:42:43.2,9.126791209,-6.601758242,-9.257582418,46.27648352,63.1010989,-24.60057143,1.98E+24,x,6.03E+08,32.3956044,0.105604396,FALSE
415,01:34:35.16,30:44:59.5,9.143978022,-6.758681319,-9.761098901,47.55978022,63.33846154,-24.58371429,2.20E+24,x,6.06E+08,32.27472527,0.104725275,FALSE
416,01:34:35.30,30:38:30.1,9.161164835,-6.915604396,-10.26461538,48.84307692,63.57582418,-24.56685714,<3.8e21,x,6.09E+08,32.15384615,0.103846154,FALSE
417,01:34:36.92,30:03:47.6,9.178351648,-7.072527473,-10.76813187,50.12637363,63.81318681,-24.55,2.30E+21,x,6.12E+08,32.03296703,0.102967033,FALSE
418,01:34:38.39,30:54:49.3,9.195538462,-7.229450549,-11.27164835,51.40967033,64.05054945,-24.53314286,<1.9e22,x,6.15E+08,31.91208791,0.102087912,FALSE
419,01:34:38.90,30:38:51.8,9.212725275,-7.386373626,-11.77516484,52.69296703,64.28791209,-24.51628571,<4.0e22,x,6.18E+08,31.79120879,0.101208791,FALSE
420,01:34:40.41,30:46:01.3,9.229912088,-7.543296703,-12.27868132,53.97626374,64.52527473,-24.49942857,2.80E+21,x,6.21E+08,31.67032967,0.10032967,FALSE
421,01:34:40.66,30:49:47.3,9.247098901,-7.70021978,-12.7821978,55.25956044,64.76263736,-24.48257143,<1.3e23,x,6.24E+08,31.54945055,0.099450549,FALSE
422,01:34:40.72,30:53:02.0,9.264285714,-7.857142857,-13.28571429,56.54285714,65,-24.46571429,1.64E+24,n,6.28E+08,31.42857143,0.098571429,FALSE
423,01:34:41.20,30:49:52.7,9.281472527,-8.014065934,-13.78923077,57.82615385,65.23736264,-24.44885714,2.05E+24,e,630607734.8,31.30769231,0.097692308,TRUE
424,01:34:41.65,30:46:38.8,9.298659341,-8.170989011,-14.29274725,59.10945055,65.47472527,-24.432,<1.5e22,n,6.34E+08,31.18681319,0.096813187,FALSE
425,01:34:42.80,30:49:19.2,9.315846154,-8.327912088,-14.79626374,60.39274725,65.71208791,-24.41514286,<6.8e23,x,6.37E+08,31.06593407,0.095934066,FALSE
426,01:34:43.19,30:52:19.1,9.333032967,-8.484835165,-15.29978022,61.67604396,65.94945055,-24.39828571,2.41E+24,x,6.40E+08,30.94505495,0.095054945,FALSE
427,01:34:43.70,30:47:37.9,9.35021978,-8.641758242,-15.8032967,62.95934066,66.18681319,-24.38142857,2.62E+24,x,6.43E+08,30.82417582,0.094175824,FALSE
428,01:34:44.20,30:52:18.9,9.367406593,-8.798681319,-16.30681319,64.24263736,66.42417582,-24.36457143,2.83E+24,x,6.46E+08,30.7032967,0.093296703,FALSE
429,01:34:45.09,30:50:33.5,9.384593407,-8.955604396,-16.81032967,65.52593407,66.66153846,-24.34771429,3.05E+24,x,6.49E+08,30.58241758,0.092417582,FALSE
430,01:34:45.59,30:44:23.0,9.40178022,-9.112527473,-17.31384615,66.80923077,66.8989011,-24.33085714,<3.8e22,x,6.52E+08,30.46153846,0.091538462,FALSE
431,01:34:45.70,30:52:26.9,9.418967033,-9.269450549,-17.81736264,68.09252747,67.13626374,-24.314,2.30E+21,x,6.55E+08,30.34065934,0.090659341,FALSE
432,01:34:45.91,30:53:04.4,9.436153846,-9.426373626,-18.32087912,69.37582418,67.37362637,-24.29714286,<1.9e23,x,6.59E+08,30.21978022,0.08978022,FALSE
433,01:34:45.99,30:50:50.4,9.453340659,-9.583296703,-18.8243956,70.65912088,67.61098901,-24.28028571,<4.0e23,x,6.62E+08,30.0989011,0.088901099,FALSE
434,01:34:46.51,30:44:30.8,9.470527473,-9.74021978,-19.32791209,71.94241758,67.84835165,-24.26342857,2.80E+21,x,6.65E+08,29.97802198,0.088021978,FALSE
435,01:34:46.68,30:49:25.0,9.487714286,-9.897142857,-19.83142857,73.22571429,68.08571429,-24.24657143,<1.3e24,x,6.68E+08,29.85714286,0.087142857,FALSE
436,01:34:46.80,30:49:16.1,9.504901099,-10.05406593,-20.33494505,74.50901099,68.32307692,-24.22971429,2.46E+24,n,6.71E+08,29.73626374,0.086263736,FALSE
437,01:34:47.53,30:47:29.0,9.522087912,-10.21098901,-20.83846154,75.79230769,68.56043956,-24.21285714,2.87E+24,e,674033149.2,29.61538462,0.085384615,TRUE
438,01:34:49.62,30:21:55.5,9.539274725,-10.36791209,-21.34197802,77.0756044,68.7978022,-24.196,<1.5e23,n,6.77E+08,29.49450549,0.084505495,FALSE
439,01:34:50.10,30:47:04.1,9.556461538,-10.52483516,-21.84549451,78.3589011,69.03516484,-24.17914286,<6.8e24,x,6.80E+08,29.37362637,0.083626374,FALSE
440,01:34:51.16,30:54:48.7,9.573648352,-10.68175824,-22.34901099,79.6421978,69.27252747,-24.16228571,3.26E+24,x,6.83E+08,29.25274725,0.082747253,FALSE
441,01:34:52.24,30:50:05.6,9.590835165,-10.83868132,-22.85252747,80.92549451,69.50989011,-24.14542857,3.47E+24,x,6.86E+08,29.13186813,0.081868132,FALSE
442,01:34:52.90,30:10:51.2,9.608021978,-10.9956044,-23.35604396,82.20879121,69.74725275,-24.12857143,3.68E+24,x,6.90E+08,29.01098901,0.080989011,FALSE
443,01:34:53.17,30:51:47.8,9.625208791,-11.15252747,-23.85956044,83.49208791,69.98461538,-24.11171429,3.90E+24,x,6.93E+08,28.89010989,0.08010989,FALSE
444,01:34:56.88,30:52:35.0,9.642395604,-11.30945055,-24.36307692,84.77538462,70.22197802,-24.09485714,<3.8e23,x,6.96E+08,28.76923077,0.079230769,FALSE
445,01:34:58.32,30:31:10.5,9.659582418,-11.46637363,-24.86659341,86.05868132,70.45934066,-24.078,2.30E+21,x,6.99E+08,28.64835165,0.078351648,FALSE
446,01:35:01.56,30:51:27.0,9.676769231,-11.6232967,-25.37010989,87.34197802,70.6967033,-24.06114286,<1.9e24,x,7.02E+08,28.52747253,0.077472527,FALSE
447,01:35:04.69,30:46:10.6,9.693956044,-11.78021978,-25.87362637,88.62527473,70.93406593,-24.04428571,<4.0e24,x,7.05E+08,28.40659341,0.076593407,FALSE
448,01:35:14.01,30:52:32.9,9.693956044,-11.78021978,-25.87362637,88.62527473,70.93406593,-24.04428571,<4.0e25,x,7.05E+08,28.40659341,0.076593407,FALSE
449,01:35:18.25,30:49:53.9,9.693956044,-11.78021978,-25.87362637,88.62527473,70.93406593,-24.04428571,<4.0e26,x,7.05E+08,28.40659341,0.076593407,FALSE
450,01:35:45.70,30:26:51.4,9.693956044,-11.78021978,-25.87362637,88.62527473,70.93406593,-24.04428571,<4.0e27,x,7.05E+08,28.40659341,0.076593407,FALSE
451,01:36:05.40,30:58:19.7,9.693956044,-11.78021978,-25.87362637,88.62527473,70.93406593,-24.04428571,<4.0e28,x,7.05E+08,28.40659341,0.076593407,FALSE
